Name,Presenter,Venue,Address,City,State,Country,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Description,Commentary,Website,Facebook,Instagram,Twitter,Youtube,News,Tag(s) (separated by commas)
Ball State University Discovery New Musical Theatre Festival,Ball State University,Ball State University,2000 W University Ave,Muncie,Indiana,USA,19,May,2017,21,May,2017,"Ball State University’s College of Fine Arts and Department of Theatre and Dance, in association with the Discovery Ball State Women's Fund and the Provost Immersive Learning Initiative, are looking for unpublished musical theatre and play writers and their works to be presented as part of the DISCOVERY NEW THEATRE FESTIVAL. Submissions of new musicals and plays are examined and screened by students until a final selection is made.  Those remaining  productions are presented at the Summer Festivals as staged readings performed by Ball State students and professional artists are adjudicated by industry professionals. One selected production is performed as part of Ball State University’s season and as a full entry into the Kennedy Center’s American College Theatre Festival.",,https://www.bsudiscoveryfestival.com/,https://www.facebook.com/BSUDiscoveryFestival/,,https://twitter.com/BSUTheatreFest,,,
Bard SummerScape,Richard B. Fisher Center for the Performing Arts at Bard College,Richard B. Fisher Center for the Performing Arts at Bard College,60 Manor Ave,Annandale-on-Hudson,New York,USA,30,June,2017,20,August,2017,"Described as “part boot camp for the brain, part spa for the spirit” (New York Times) and a “highbrow hotbed of culture” (Huffington Post), Bard SummerScape returns for its 15th season with seven weeks of music, opera, theater, dance, film and cabaret performances keyed to the life and times of the distinctive, original 19th-century Polish composer Fryderyk Chopin.",,http://fishercenter.bard.edu/summerscape/,https://www.facebook.com/FisherCenterforthePerformingArtsAtBardCollege,,https://twitter.com/bard_fisherctr,,,
Boston Early Music Festival,,Boston Early Music Festival,43 Thorndike St,Boston,Massachusetts,USA,9,June,2019,16,June,2019,"The Boston Early Music Festival (BEMF) is universally recognized as a leader in the field of early music. Since its founding in 1980 by leading practitioners of historical performance in the United States and abroad, BEMF has promoted early music through a variety of diverse programs and activities, including an annual concert series that brings early music’s brightest stars to the Boston and New York concert stages, and the biennial weeklong Festival and Exhibition, recognized as “the world’s leading festival of early music” (The Times, London). Through its programs BEMF has earned its place as North America’s premier presenting organization for music of the Medieval, Renaissance, and Baroque periods and has secured Boston’s reputation as “America’s early music capital” (The Boston Globe). One of BEMF’s main goals is to unearth and present lesser-known Baroque operas performed by the world’s leading musicians armed with the latest information on period singing, orchestral performance, scenic design, costuming, dance, and staging. BEMF operas reproduce the Baroque’s stunning palette of sound by bringing together today’s leading operatic superstars and a wealth of instrumental talent from across the globe to one stage for historic presentations, all zestfully led from the pit by the BEMF Artistic Directors Paul O’Dette and Stephen Stubbs, and creatively reimagined for the stage by BEMF Opera Director Gilbert Blin.",,http://www.bemf.org/,https://www.facebook.com/bostonearly,,https://twitter.com/bostonearly,,,
Children’s Musical Theatre Festival,The Broadway Workshop and Project Broadway,Baruch Performing Arts Center,445 W 54th St Suite 5A,New York City,New York,USA,8,July,2017,16,July,2017,"The Children's Musical Theater Festival (CMTF) is a nine-day, performance based theater program for students ages 8-18. CMTF provides the unique opportunity for aspiring young actors to originate roles in new works by up-and-coming musical theater writers or create roles in new student versions of established musicals. It also provides theater writers with the opportunity, space and resources to develop and showcase new family-friendly musicals.",,http://www.cmtfnyc.com/,,,,,,
Coil Festival,Performance Space 122,Wallplay,118 Orchard St,New York City,New York,USA,3,January,2017,22,January,2017,"Performance Space 122’s Coil Festival explores the vitality of live performance in New York City through contemporary artists from diverse genres, cultures, and perspectives. Full of inquisitive and dynamic work created locally, across the US, and around the world.",,https://www.ps122.org/coil-2017/,https://www.facebook.com/ps122,https://www.instagram.com/ps122/,https://twitter.com/ps122,https://www.youtube.com/user/PerformanceSpace122/,,
Coil Festival,Performance Space 122,La MaMa,66 East 4th St,New York City,New York,USA,3,January,2017,22,January,2017,"Performance Space 122’s Coil Festival explores the vitality of live performance in New York City through contemporary artists from diverse genres, cultures, and perspectives. Full of inquisitive and dynamic work created locally, across the US, and around the world.",,https://www.ps122.org/coil-2017/,https://www.facebook.com/ps122,https://www.instagram.com/ps122/,https://twitter.com/ps122,https://www.youtube.com/user/PerformanceSpace122/,,
Coil Festival,Performance Space 122,The Invisible Dog Art Center,51 Bergen St,Brooklyn,New York,USA,3,January,2017,22,January,2017,"Performance Space 122’s Coil Festival explores the vitality of live performance in New York City through contemporary artists from diverse genres, cultures, and perspectives. Full of inquisitive and dynamic work created locally, across the US, and around the world.",,https://www.ps122.org/coil-2017/,https://www.facebook.com/ps122,https://www.instagram.com/ps122/,https://twitter.com/ps122,https://www.youtube.com/user/PerformanceSpace122/,,
Coil Festival,Performance Space 122,Baryshnikov Arts Center,450 W 37th St #501,New York City,New York,USA,3,January,2017,22,January,2017,"Performance Space 122’s Coil Festival explores the vitality of live performance in New York City through contemporary artists from diverse genres, cultures, and perspectives. Full of inquisitive and dynamic work created locally, across the US, and around the world.",,https://www.ps122.org/coil-2017/,https://www.facebook.com/ps122,https://www.instagram.com/ps122/,https://twitter.com/ps122,https://www.youtube.com/user/PerformanceSpace122/,,
Coil Festival,Performance Space 122,East Village Community School,610 E 12th St,New York City,New York,USA,3,January,2017,22,January,2017,"Performance Space 122’s Coil Festival explores the vitality of live performance in New York City through contemporary artists from diverse genres, cultures, and perspectives. Full of inquisitive and dynamic work created locally, across the US, and around the world.",,https://www.ps122.org/coil-2017/,https://www.facebook.com/ps122,https://www.instagram.com/ps122/,https://twitter.com/ps122,https://www.youtube.com/user/PerformanceSpace122/,,
Coil Festival,Performance Space 122,The Chocolate Factory Theater,5-49 49th Ave,Long Island City,New York,USA,3,January,2017,22,January,2017,"Performance Space 122’s Coil Festival explores the vitality of live performance in New York City through contemporary artists from diverse genres, cultures, and perspectives. Full of inquisitive and dynamic work created locally, across the US, and around the world.",,https://www.ps122.org/coil-2017/,https://www.facebook.com/ps122,https://www.instagram.com/ps122/,https://twitter.com/ps122,https://www.youtube.com/user/PerformanceSpace122/,,
